1,eon^ era^ period^ epoch,3,AAAA Duplicated Item,2,San Francisco^ CA,2
4,Neural Radiance Fields,2,explicit,2,San Francisco^ CA,2
7,Neural Radiance Fields,2,explicit,2,AAAA Duplicated Item,2
10,Achieve every goal you,1,formidable,1,synergies,1
13,Neural Radiation Field Rendering,1,邓布利多,1,赫敏格兰杰,1
16,罗恩韦斯莱,1,Albus Dumbledore,1,involved,1
19,too involved with,1,only a master of,1,inseption,1
22,engaging,1,entertainment,1,aepe,1
25,plunge into,1,retrieval augmented generatioin,1,army^ navy^ air force,1
28,12-bar blues,1,Co. Ltd,1,Francisco^,1
31,Coulomb's Law,1,Faraday's Law of Electromagnetic,1,Bachelor's Button,1
34,Science^ Technology^ Engineering^ and,1,Doctoral Degree,1,
